Proxy port,Type,Status,Zone,Targeting,Success,BW,Requests
24319,persist,ok,il_mobile_1,il,4,17639,4
24320,persist,ok,il_mobile_1,il,1,1883,2
24321,persist,ok,il_mobile_1,il,1,1248,1
24322,persist,ok,il_mobile_1,il,103,1139514,103
24323,persist,ok,il_mobile_1,il,161,1788719,164
24324,persist,ok,il_mobile_1,il,83,559653,83
24325,persist,ok,il_mobile_1,il,85,943181,85
24326,persist,ok,il_mobile_1,il,78,1090378,78
24327,persist,ok,il_mobile_1,il,127,1514594,127
24328,persist,ok,il_mobile_1,il,205,2543094,205
24329,persist,ok,il_mobile_1,il,682,5133701,683
24330,persist,ok,il_mobile_1,il,169,2068671,169
24331,persist,ok,il_mobile_1,il,255,3437326,259
24332,persist,ok,il_mobile_1,il,150,2015888,150
24333,persist,ok,il_mobile_1,il,237,3592573,239
24334,persist,ok,il_mobile_1,il,249,3898231,283
24335,persist,ok,il_mobile_1,il,304,4882541,306
24336,persist,ok,il_mobile_1,il,189,1072649,189
24337,persist,ok,il_mobile_1,il,98,612226,98
24338,persist,ok,il_mobile_1,il,23,385462,23
24339,persist,ok,il_mobile_1,il,69,655789,69
24340,persist,ok,il_mobile_1,il,1,1273,1
24341,persist,ok,il_mobile_1,il,1,1266,1
24342,persist,ok,il_mobile_1,il,1,1247,1
24343,persist,ok,il_mobile_1,il,1,1277,1
24344,persist,ok,il_mobile_1,il,1,1252,1
24345,persist,ok,il_mobile_1,il,1,1243,1
24346,persist,ok,il_mobile_1,il,1,1236,1
24347,persist,ok,il_mobile_1,il,1,1240,1
24348,persist,ok,il_mobile_1,il,1,1242,1
24349,persist,ok,il_mobile_1,il,1,1263,1
24350,persist,ok,il_mobile_1,il,1,1231,1
24351,persist,ok,il_mobile_1,il,1,1266,1
24352,persist,ok,il_mobile_1,il,1,1261,1
24353,persist,ok,il_mobile_1,il,1,1264,1
24354,persist,ok,il_mobile_1,il,1,1274,1
24355,persist,ok,il_mobile_1,il,1,1266,1
24356,persist,ok,il_mobile_1,il,1,1248,1
24357,persist,ok,il_mobile_1,il,1,1250,1
24358,persist,ok,il_mobile_1,il,1,1272,1
24359,persist,ok,il_mobile_1,il,1,1280,1
24360,persist,ok,il_mobile_1,il,1,1253,1
