מצב עסקה,תאריך יצירה,סכום לחיוב,האם ליצור חשבונית,שם מוצר,ערך משתמש להחזרה
הצלחה,30/11/2019 19:48,26,מסומן,1900 Instagram Post likes for 26$,242
הצלחה,03/11/2019 14:10,28,מסומן,500 קניית עוקבים באינסטגרם ב-28₪,745
הצלחה,09/11/2019 17:39,28,מסומן,500 קניית עוקבים באינסטגרם ב-28₪,814
הצלחה,11/11/2019 09:08,28,מסומן,500 קניית עוקבים באינסטגרם ב-28₪,830
הצלחה,15/11/2019 21:25,28,מסומן,500 קניית עוקבים באינסטגרם ב-28₪,903
הצלחה,16/11/2019 00:46,28,מסומן,500 קניית עוקבים באינסטגרם ב-28₪,904
הצלחה,25/11/2019 14:55,28,מסומן,500 קניית עוקבים באינסטגרם ב-28₪,1027
הצלחה,26/11/2019 16:13,28,מסומן,500 קניית עוקבים באינסטגרם ב-28₪,1045
הצלחה,30/11/2019 11:50,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1085
הצלחה,30/11/2019 13:56,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1087
הצלחה,01/12/2019 11:50,28,מסומן,500 קניית עוקבים באינסטגרם ב-28₪,1100
הצלחה,02/12/2019 21:43,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1122
הצלחה,04/12/2019 23:56,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1139
הצלחה,06/12/2019 15:06,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1173
הצלחה,07/12/2019 11:20,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1179
הצלחה,07/12/2019 12:39,28,מסומן,500 קניית עוקבים באינסטגרם ב-28₪,1180
הצלחה,09/12/2019 04:14,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1200
הצלחה,09/12/2019 09:27,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1202
הצלחה,09/12/2019 15:00,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1210
הצלחה,10/12/2019 00:02,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1220
הצלחה,10/12/2019 09:31,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1225
הצלחה,10/12/2019 13:50,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1230
הצלחה,10/12/2019 19:55,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1243
הצלחה,10/12/2019 23:25,28,מסומן,100 עוקבים ישראלים באינסטגרם ב-28₪,1246
הצלחה,21/11/2019 11:04,30,מסומן,20 תגובות לאינסטגרם ב-10₪,975
הצלחה,04/12/2019 15:46,30,מסומן,1000 צפיות לסרטון ביוטיוב ב-30₪,1130
הצלחה,27/11/2019 10:48,31,מסומן,110 עוקבים ישראלים באינסטגרם ב-31₪,1052
הצלחה,02/11/2019 12:41,33,מסומן,600 קניית עוקבים באינסטגרם ב-33₪,731
הצלחה,07/11/2019 05:30,33,מסומן,600 קניית עוקבים באינסטגרם ב-33₪,787
הצלחה,11/11/2019 19:46,33,מסומן,600 קניית עוקבים באינסטגרם ב-33₪,844
הצלחה,03/12/2019 10:45,33,מסומן,600 קניית עוקבים באינסטגרם ב-33₪,1124
הצלחה,27/11/2019 17:36,35,מסומן,2300 Instagram Followers for 35$,236
הצלחה,01/12/2019 22:20,36,מסומן,40 תגובות בעברית ממשתמשים ישראלים ב-36₪,1115
הצלחה,15/11/2019 14:06,39,מסומן,700 קניית עוקבים באינסטגרם ב-39₪,896
הצלחה,16/11/2019 05:51,39,מסומן,700 קניית עוקבים באינסטגרם ב-39₪,907
הצלחה,23/11/2019 19:16,39,מסומן,700 קניית עוקבים באינסטגרם ב-39₪,1009
הצלחה,28/11/2019 11:03,39,מסומן,700 קניית עוקבים באינסטגרם ב-39₪,1063
הצלחה,08/12/2019 02:44,43,מסומן,3200 Instagram Followers for 43$,247
הצלחה,14/11/2019 22:07,44,מסומן,800 קניית עוקבים באינסטגרם ב-44₪,879
הצלחה,21/11/2019 20:43,44,מסומן,800 קניית עוקבים באינסטגרם ב-44₪,983
הצלחה,11/12/2019 15:08,44,מסומן,800 קניית עוקבים באינסטגרם ב-44₪,1254
